Year,iso3,Country,Refugees,Total_Fatalities,Civilian_Fatalities,Protest_Events,GDP_per_capita,Dist_km
2020,CHE,Switzerland,80,121,20,1386,85897.7843338323,1730.779
2021,CHE,Switzerland,91,149,10,1175,93664.7736696111,1730.779
2022,CHE,Switzerland,60162,40081,5806,288,94394.5106803525,1730.779
2023,CHE,Switzerland,66419,39596,2004,132,100623.549627296,1730.779
2024,CHE,Switzerland,66894,69872,2184,324,103998.186685604,1730.779
2025,CHE,Switzerland,67906,76864,2587,373,NA,1730.779
2010,GBR,United Kingdom of Great Britain and Northern Ireland,284,NA,NA,NA,39778.3220528565,2137.511
2011,GBR,United Kingdom of Great Britain and Northern Ireland,252,NA,NA,NA,42295.9273835322,2137.511
2012,GBR,United Kingdom of Great Britain and Northern Ireland,192,NA,NA,NA,42688.3263728372,2137.511
2013,GBR,United Kingdom of Great Britain and Northern Ireland,124,NA,NA,NA,43606.9837896348,2137.511
2014,GBR,United Kingdom of Great Britain and Northern Ireland,85,NA,NA,NA,47746.2421759562,2137.511
2015,GBR,United Kingdom of Great Britain and Northern Ireland,85,NA,NA,NA,45255.3449216209,2137.511
2016,GBR,United Kingdom of Great Britain and Northern Ireland,90,NA,NA,NA,41257.9085545556,2137.511
2017,GBR,United Kingdom of Great Britain and Northern Ireland,110,NA,NA,NA,40916.8115070354,2137.511
2018,GBR,United Kingdom of Great Britain and Northern Ireland,144,883,62,1362,43702.9976303165,2137.511
2019,GBR,United Kingdom of Great Britain and Northern Ireland,185,392,54,1461,43158.7411267323,2137.511
2020,GBR,United Kingdom of Great Britain and Northern Ireland,208,121,20,1386,40812.6794663879,2137.511
2021,GBR,United Kingdom of Great Britain and Northern Ireland,225,149,10,1175,47691.3768799404,2137.511
2022,GBR,United Kingdom of Great Britain and Northern Ireland,182423,40081,5806,288,47057.043229179,2137.511
2023,GBR,United Kingdom of Great Britain and Northern Ireland,225497,39596,2004,132,49944.4702124201,2137.511
2024,GBR,United Kingdom of Great Britain and Northern Ireland,255141,69872,2184,324,53246.3676145108,2137.511
2025,GBR,United Kingdom of Great Britain and Northern Ireland,262436,76864,2587,373,NA,2137.511
