iso2c,iso3c,country,date,inflazione,crescita_pil,periodo
CZ,CZE,Czechia,2017,2.4505339846014,5.17356529967881,Pre-guerra
CZ,CZE,Czechia,2018,2.14949494949492,2.83030588267866,Pre-guerra
CZ,CZE,Czechia,2019,2.84787595918041,3.56577658128261,Pre-guerra
CZ,CZE,Czechia,2020,3.1612952849781,-5.30487955463876,Pre-guerra
CZ,CZE,Czechia,2021,3.83984491500146,4.02901832055149,Pre-guerra
CZ,CZE,Czechia,2022,15.100165146837,2.8471706583814,Post-guerra
CZ,CZE,Czechia,2023,10.6612601372427,0.0475803308973752,Post-guerra
CZ,CZE,Czechia,2024,2.43531202435314,1.23308611983484,Post-guerra
DE,DEU,Germany,2010,1.1038103778926,4.13463778522758,NA
DE,DEU,Germany,2011,2.07517283735874,3.75796884489337,NA
DE,DEU,Germany,2012,2.00848884782956,0.463512036709204,NA
DE,DEU,Germany,2013,1.50472330251876,0.396995583779145,NA
DE,DEU,Germany,2014,0.906794000434245,2.18018602168017,Pre-guerra
DE,DEU,Germany,2015,0.514426137125456,1.66300602334775,Pre-guerra
DE,DEU,Germany,2016,0.491747008445174,2.22222216259371,Pre-guerra
DE,DEU,Germany,2017,1.50949485109628,2.797906720551,Pre-guerra
DE,DEU,Germany,2018,1.73216879766941,1.13569604599849,Pre-guerra
DE,DEU,Germany,2019,1.44565976888253,0.977734697038784,Pre-guerra
DE,DEU,Germany,2020,0.144877925813981,-4.13191443239947,Pre-guerra
DE,DEU,Germany,2021,3.06666666666673,3.90999994204108,Pre-guerra
DE,DEU,Germany,2022,6.87257438551096,1.8092581243061,Post-guerra
DE,DEU,Germany,2023,5.94643667725823,-0.869647578573321,Post-guerra
DE,DEU,Germany,2024,2.2564981433876,-0.495851897260366,Post-guerra
DK,DNK,Denmark,2010,2.31092436974786,1.58289703108802,NA
DK,DNK,Denmark,2011,2.7586822605125,1.3108037609606,NA
DK,DNK,Denmark,2012,2.3979148566464,-0.00543230161670749,NA
